Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Fine Learning Knock Correction* (degrees)
6219,14.93,13.60,192,864,74.90,13.50,1.66,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
6280,14.93,13.68,192,866,74.90,13.50,1.66,46,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6342,14.93,13.60,192,859,74.90,14.00,1.65,46,0.00,4.79,0.00,0,-9.87,3.72,0.00,0.00
6404,14.93,13.68,192,856,74.90,14.50,1.64,46,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6465,14.81,13.60,192,856,74.90,14.50,1.64,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
6527,14.81,13.68,192,861,74.90,14.00,1.65,46,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6589,14.93,13.60,192,861,74.90,14.00,1.65,46,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6651,14.81,13.60,192,866,74.90,13.00,1.66,45,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6712,14.93,13.60,192,860,74.90,13.00,1.65,45,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6774,14.93,13.60,192,867,74.90,13.00,1.65,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
6836,14.93,13.60,192,872,74.90,12.50,1.66,45,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6896,14.93,13.60,192,869,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
6958,14.93,13.68,192,869,74.90,13.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
7020,14.93,13.60,192,868,74.90,13.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
7081,14.93,13.68,192,868,74.90,13.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
7143,14.93,13.60,192,870,74.90,13.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
7205,14.93,13.60,192,864,74.90,14.00,1.66,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
7267,14.93,13.68,192,865,74.90,13.50,1.66,45,0.00,4.79,0.00,0,-9.87,3.82,0.00,0.00
7327,15.04,13.60,192,856,74.90,15.00,1.64,45,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
7389,14.93,13.68,192,853,74.90,15.00,1.64,45,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
7451,15.04,13.52,192,862,74.90,14.00,1.65,45,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
7514,15.04,13.68,192,873,74.90,12.50,1.68,45,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
7573,15.04,13.52,192,874,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.72,0.00,0.00
7636,14.93,13.68,192,874,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.00
7697,15.04,13.52,192,870,74.90,13.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
7758,14.81,13.68,192,870,74.90,13.50,1.67,45,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
7820,14.93,13.52,192,864,74.90,14.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.72,0.00,0.00
7882,14.81,13.60,192,864,74.90,14.00,1.66,45,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
7942,14.93,13.60,192,864,74.90,13.00,1.66,45,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
8004,14.81,13.68,192,861,74.90,13.50,1.65,45,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
8066,14.81,13.60,192,868,74.90,13.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8127,14.81,13.68,192,874,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8189,14.93,13.60,192,877,74.90,12.50,1.68,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8251,14.93,13.60,192,883,74.90,12.00,1.70,45,0.00,4.79,0.00,0,-9.87,3.72,0.00,0.00
8312,14.93,13.68,192,874,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.00
8374,14.93,13.60,192,872,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.72,0.00,0.00
8436,14.93,13.68,192,863,74.90,14.00,1.66,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8498,14.93,13.60,192,870,74.90,13.50,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8559,14.93,13.60,192,871,74.90,13.50,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8621,15.04,13.60,192,877,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.72,0.00,0.00
8682,15.04,13.68,192,870,74.90,13.50,1.67,45,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.00
8744,15.04,13.60,192,873,74.90,13.00,1.68,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8804,15.16,13.68,192,869,74.90,14.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
8867,15.04,13.68,192,874,74.90,13.00,1.67,45,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
