Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
22892,-3.91,-1.56,14.81,13.52,194,1.12,3516,0.00,0.00,66.67,16,31.00,9.00,82,4.50,-0.87,2.82,10.98,21.57
23150,-6.25,-1.56,14.59,13.52,194,1.09,3518,0.00,0.00,66.67,16,8.00,9.31,82,4.50,-0.87,2.82,10.98,21.57
23408,-7.81,-1.56,14.70,13.60,194,1.10,3625,0.00,0.00,66.67,16,30.50,9.28,82,4.50,-0.58,2.86,10.98,21.57
23665,-7.81,-1.56,15.04,13.52,194,1.12,3568,0.00,0.00,66.67,16,34.00,9.13,82,4.50,-0.87,2.84,10.98,21.57
23922,-7.81,-1.56,15.04,13.60,194,1.05,3776,0.00,0.00,66.67,16,33.00,9.67,82,4.50,-1.31,2.82,9.80,20.39
24179,-8.59,-1.56,14.70,13.60,194,1.03,3632,0.00,0.00,66.67,16,32.00,8.52,82,4.50,-2.03,2.74,7.45,18.43
24437,-3.91,-1.56,15.39,13.68,194,0.96,3660,0.00,0.00,66.67,16,30.50,7.81,82,4.50,-3.19,2.66,5.88,17.25
24694,-5.47,-1.56,14.70,13.68,194,0.88,3680,0.00,0.00,66.67,16,8.00,7.07,82,4.50,-4.64,2.52,3.92,15.69
24951,-4.69,-1.56,14.70,13.60,194,0.84,3696,0.00,-1.05,66.67,16,6.50,6.31,82,3.50,-5.37,2.52,3.53,15.29
25208,0.00,-1.56,15.16,13.52,194,0.82,3735,0.00,-1.05,66.67,16,30.00,6.37,82,2.50,-5.80,2.48,3.14,15.29
25465,2.34,-1.56,15.04,13.52,194,0.84,3691,0.00,-1.05,66.67,16,9.00,6.19,82,2.50,-5.95,2.48,3.14,15.29
