Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
25961,-1.56,6.25,14.70,13.52,178,0.72,3333,0.00,0.00,66.67,16,45.50,7.11,109,11.32,-3.48,2.56,5.49,19.22
26218,-1.56,6.25,14.59,13.52,178,0.72,3395,0.00,0.00,66.67,16,31.00,7.24,109,11.32,-3.48,2.56,5.49,19.22
26474,-2.34,6.25,14.70,13.52,178,0.71,3432,0.00,0.00,66.67,16,34.00,7.32,109,11.17,-3.63,2.58,5.49,19.22
26730,-0.78,6.25,14.70,13.52,178,0.70,3510,0.00,0.00,66.67,16,45.00,7.49,109,11.17,-3.63,2.58,5.49,19.22
26988,-0.78,6.25,14.70,13.28,178,0.69,3538,0.00,0.00,66.67,16,31.00,7.68,109,11.03,-3.77,2.60,5.49,19.22
27244,0.00,6.25,14.81,13.36,178,0.69,3589,0.00,0.00,66.67,16,30.50,7.79,109,10.88,-3.92,2.60,5.49,19.22
27501,0.00,6.25,14.59,13.36,178,0.70,3687,0.00,0.00,66.67,16,30.50,7.92,109,10.88,-3.92,2.62,5.49,19.22
27785,0.00,6.25,14.59,13.44,178,0.74,3724,0.00,0.00,66.67,16,31.00,7.94,109,10.74,-4.06,2.62,5.49,19.22
28042,0.78,6.25,14.59,13.44,178,0.70,3782,0.00,0.00,66.67,16,31.00,8.17,109,10.74,-4.06,2.64,5.49,19.22
28299,-0.78,6.25,14.47,13.44,178,0.69,3850,0.00,0.00,66.67,16,34.00,8.21,109,10.59,-4.21,2.64,5.49,18.43
28556,-3.91,6.25,11.94,13.52,178,0.34,3822,0.00,0.00,66.67,16,30.00,4.89,109,4.79,-10.01,2.10,0.00,0.00
28813,0.00,6.25,11.83,13.52,178,0.24,3453,0.00,0.00,66.67,16,16.50,0.00,109,3.34,-11.46,1.96,0.00,0.00
29070,0.00,6.25,15.85,13.52,178,0.21,2947,0.00,0.00,66.67,16,15.50,0.00,109,3.77,-11.03,1.54,0.00,9.41
29326,0.00,6.25,22.05,13.68,178,0.81,2750,0.00,0.00,33.33,16,31.00,6.45,109,10.45,-4.35,2.50,5.88,19.61
29583,0.78,6.25,16.08,13.60,178,0.79,2716,0.00,0.00,33.33,16,38.00,6.37,108,11.61,-3.19,2.50,6.27,20.78
29840,14.84,6.25,14.81,13.44,178,0.82,2760,0.00,0.00,66.67,16,37.50,7.66,108,12.19,-2.61,2.52,7.06,21.18
30097,14.84,6.25,13.44,13.52,178,0.84,2845,0.00,0.00,66.67,16,37.00,7.89,108,12.33,-2.47,2.56,7.45,21.18
30354,10.94,6.25,13.44,13.36,178,0.85,2864,0.00,0.00,66.67,16,39.00,7.94,108,12.62,-2.18,2.58,7.45,21.57
30610,7.03,6.25,13.67,13.44,178,0.86,2915,0.00,0.00,66.67,16,45.50,7.46,108,12.77,-2.03,2.60,7.84,21.96
30867,-0.78,6.25,14.13,13.44,178,0.86,2948,0.00,0.00,66.67,16,45.00,7.59,108,12.77,-1.89,2.62,7.84,21.96
31124,-2.34,6.25,14.59,13.44,178,0.86,2966,0.00,0.00,66.67,16,31.00,7.59,108,12.91,-1.89,2.62,7.84,21.96
31381,-3.12,6.25,14.47,13.44,178,0.86,3064,0.00,0.00,66.67,16,31.00,7.84,108,12.91,-1.89,2.62,7.84,21.96
31638,-2.34,6.25,14.70,13.44,178,0.85,3058,0.00,0.00,66.67,16,34.00,7.83,108,12.91,-1.89,2.62,7.84,21.96
31895,-1.56,6.25,14.70,13.52,178,0.85,3096,0.00,0.00,66.67,16,31.00,7.93,108,12.91,-1.89,2.64,7.84,21.96
32151,-2.34,6.25,14.59,13.44,178,0.85,3133,0.00,0.00,66.67,16,33.50,7.35,108,13.06,-1.74,2.64,7.45,21.57
32409,-3.12,6.25,14.47,13.52,178,0.84,3200,0.00,0.00,66.67,16,45.00,7.51,108,13.06,-1.74,2.64,7.84,21.57
32666,-3.91,6.25,14.59,13.52,178,0.84,3228,0.00,0.00,66.67,16,46.00,7.58,108,12.91,-1.89,2.64,7.84,21.57
