Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Turbo Dynamics Burst* (absolute %)
27716,-21.88,-0.78,12.52,13.36,180,0.07,824,0.00,0.00,33.33,16,12.00,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
27991,-22.66,-0.78,12.63,13.60,180,0.07,817,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
28265,-21.88,-0.78,12.63,13.52,180,0.08,817,0.00,0.00,33.33,16,11.50,1.05,66,4.64,-10.16,1.20,0.00,0.00,0.00
28540,-21.88,-0.78,12.52,13.52,180,0.08,815,0.00,0.00,33.33,16,11.50,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
28814,-22.66,-0.78,12.63,13.52,180,0.07,828,0.00,0.00,33.33,16,10.50,1.06,66,4.64,-10.16,1.20,0.00,0.00,0.00
29089,-22.66,-0.78,12.63,13.52,180,0.07,818,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
29363,-21.88,-0.78,12.63,13.44,180,0.07,828,0.00,0.00,33.33,16,10.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
29637,-22.66,-0.78,12.63,13.36,180,0.07,825,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
29911,-21.88,-0.78,12.63,13.36,180,0.07,816,0.00,0.00,33.33,16,12.00,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
30186,-22.66,-0.78,12.63,13.44,180,0.07,812,0.00,0.00,33.33,16,12.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
30460,-21.88,-0.78,12.52,13.44,180,0.07,812,0.00,0.00,33.33,16,12.50,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
30734,-22.66,-0.78,12.52,13.12,180,0.07,832,0.00,0.00,33.33,16,10.00,1.06,66,4.64,-10.16,1.18,0.00,0.00,0.00
31008,-22.66,-0.78,12.40,13.28,180,0.07,822,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
31283,-22.66,-0.78,12.52,13.36,180,0.07,824,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
