Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
34453,0.00,0.00,12.29,13.60,194,0.15,1163,0.00,0.00,33.33,16,13.00,1.49,91,3.77,-11.17,1.30,0.00,0.00
34710,0.00,0.00,12.29,13.60,194,0.15,1158,0.00,0.00,33.33,16,13.50,1.48,91,3.77,-11.17,1.30,0.00,0.00
34967,0.00,0.00,12.29,13.68,194,0.15,1165,0.00,0.00,33.33,16,10.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
35224,0.00,0.00,12.29,13.68,194,0.15,1165,0.00,0.00,33.33,16,10.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
35481,0.00,0.00,12.29,13.68,194,0.15,1178,0.00,0.00,33.33,16,11.50,1.51,91,3.77,-11.17,1.30,0.00,0.00
35737,0.00,0.00,12.29,13.68,194,0.15,1169,0.00,0.00,33.33,16,11.00,1.50,91,3.77,-11.17,1.30,0.00,0.00
35995,0.00,0.00,12.29,13.68,194,0.15,1170,0.00,0.00,33.33,16,11.50,1.50,93,3.77,-11.17,1.30,0.00,0.00
36252,0.00,0.00,12.29,13.68,194,0.16,1150,0.00,0.00,33.33,16,13.00,1.47,93,3.92,-11.03,1.30,0.00,0.00
36509,0.00,0.00,12.17,13.68,194,0.15,1164,0.00,0.00,33.33,16,11.00,1.49,93,3.92,-11.03,1.30,0.00,0.00
36766,0.00,0.00,12.17,13.68,194,0.15,1171,0.00,0.00,33.33,16,10.50,1.50,93,3.92,-11.03,1.30,0.00,0.00
37023,0.00,0.00,12.17,13.68,194,0.15,1162,0.00,0.00,33.33,16,10.50,1.49,93,3.77,-11.17,1.30,0.00,0.00
37280,0.00,0.00,12.40,13.68,194,0.15,1170,0.00,0.00,33.33,16,11.50,1.50,93,3.77,-11.17,1.30,0.00,0.00
37537,0.00,0.00,12.40,13.68,194,0.15,1178,0.00,0.00,33.33,16,10.50,1.51,93,3.77,-11.17,1.30,0.00,0.00
37795,0.00,0.00,12.40,13.68,194,0.15,1172,0.00,0.00,33.33,16,11.50,1.51,93,3.77,-11.17,1.30,0.00,0.00
38051,0.00,0.00,12.40,13.68,194,0.15,1170,0.00,0.00,33.33,16,12.00,1.49,93,3.77,-11.17,1.30,0.00,0.00
38309,0.00,0.00,12.40,13.68,194,0.15,1164,0.00,0.00,33.33,16,11.50,1.49,93,3.77,-11.17,1.30,0.00,0.00
38566,0.00,0.00,12.29,13.68,194,0.15,1167,0.00,0.00,33.33,16,11.50,1.49,93,3.77,-11.17,1.30,0.00,0.00
38823,0.00,0.00,12.29,13.76,194,0.15,1158,0.00,0.00,33.33,16,12.00,1.48,93,3.77,-11.17,1.30,0.00,0.00
39080,0.00,0.00,12.17,13.68,194,0.15,1168,0.00,0.00,33.33,16,10.50,1.50,93,3.77,-11.17,1.30,0.00,0.00
39337,0.00,0.00,12.17,13.76,194,0.15,1175,0.00,0.00,33.33,16,11.50,1.50,93,3.77,-11.17,1.30,0.00,0.00
39594,0.00,0.00,12.29,13.76,194,0.15,1179,0.00,0.00,33.33,16,10.50,1.51,93,3.77,-11.17,1.30,0.00,0.00
39851,0.00,0.00,12.29,13.76,194,0.15,1166,0.00,0.00,33.33,16,11.00,1.49,93,3.77,-11.17,1.30,0.00,0.00
40107,0.00,0.00,12.29,13.76,194,0.15,1163,0.00,0.00,33.33,16,12.50,1.49,93,3.77,-11.17,1.30,0.00,0.00
40365,0.00,0.00,12.29,13.76,194,0.15,1162,0.00,0.00,33.33,16,12.50,1.49,93,3.77,-11.17,1.30,0.00,0.00
40621,0.00,0.00,12.29,13.68,194,0.15,1168,0.00,0.00,33.33,16,11.50,1.49,93,3.77,-11.17,1.30,0.00,0.00
40879,0.00,0.00,12.29,13.68,194,0.15,1156,0.00,0.00,33.33,16,13.00,1.48,93,3.77,-11.17,1.30,0.00,0.00
41136,0.00,0.00,12.29,13.68,194,0.15,1155,0.00,0.00,33.33,16,13.00,1.48,93,3.77,-11.17,1.30,0.00,0.00
41393,0.00,0.00,12.29,13.76,194,0.15,1158,0.00,0.00,33.33,16,11.00,1.48,93,3.77,-11.17,1.30,0.00,0.00
41650,0.00,0.00,12.29,13.68,194,0.15,1160,0.00,0.00,33.33,16,11.50,1.49,95,3.77,-11.17,1.30,0.00,0.00
41906,0.00,0.00,12.29,13.76,194,0.15,1158,0.00,0.00,33.33,16,11.00,1.48,95,3.92,-11.03,1.30,0.00,0.00
42164,0.00,0.00,12.29,13.76,194,0.15,1174,0.00,0.00,33.33,16,10.50,1.50,95,3.77,-11.17,1.30,0.00,0.00
42421,0.00,0.00,12.40,13.76,194,0.15,1172,0.00,0.00,33.33,16,11.00,1.50,95,3.77,-11.17,1.30,0.00,0.00
42678,0.00,0.00,12.29,13.76,194,0.15,1172,0.00,0.00,33.33,16,11.50,1.50,95,3.77,-11.17,1.30,0.00,0.00
42936,0.00,0.00,12.29,13.76,194,0.15,1162,0.00,0.00,33.33,16,11.50,1.49,95,3.92,-11.03,1.30,0.00,0.00
43193,0.00,0.00,12.29,13.76,194,0.15,1168,0.00,0.00,33.33,16,11.00,1.50,95,3.92,-11.03,1.30,0.00,0.00
43450,0.00,0.00,12.29,13.76,194,0.15,1175,0.00,0.00,33.33,16,10.50,1.50,95,3.77,-11.17,1.30,0.00,0.00
43706,0.00,0.00,12.29,13.76,194,0.15,1160,0.00,0.00,33.33,16,12.00,1.48,95,3.77,-11.17,1.30,0.00,0.00
43964,0.00,0.00,12.40,13.60,194,0.15,1155,0.00,0.00,33.33,16,12.50,1.48,95,3.92,-11.03,1.30,0.00,0.00
44220,0.00,0.00,12.29,13.60,194,0.16,1161,0.00,0.00,33.33,16,11.50,1.49,95,3.92,-11.03,1.30,0.00,0.00
44477,0.00,0.00,12.40,13.60,194,0.16,1162,0.00,0.00,33.33,16,11.50,1.50,95,3.77,-11.17,1.30,0.00,0.00
44734,0.00,0.00,12.29,13.60,194,0.15,1164,0.00,0.00,33.33,16,11.50,1.49,95,3.77,-11.17,1.30,0.00,0.00
44992,0.00,0.00,12.40,13.60,194,0.15,1161,0.00,0.00,33.33,16,12.00,1.49,95,3.77,-11.17,1.30,0.00,0.00
